ca_data_1,ca_data_2,ca_data_3,ca_data_4
176,21,99,14
292,456,420,283
472,521,777,310
529,566,898,452
566,888,1751,571
618,1256,2868,625
721,1378,2947,973
1031,1509,3004,996
2340,1567,3047,1333
2582,1625,3355,1388
2989,1862,3358,1473
3174,1951,3744,1527
3674,2054,4050,1617
4529,2243,4243,1968
5840,2364,4360,2002
5884,2562,4678,2877
5996,3673,4788,3198
6270,3753,4977,3555
6494,4257,5478,4529
6592,4322,5600,5646
7365,5007,5731,5725
7688,5862,5789,5782
7939,7173,5847,5825
8264,7217,6027,6136
8931,7329,6084,6522
9153,7827,6121,6828
9273,7925,6173,6945
9331,8411,6276,7021
9364,8698,6465,7138
9647,9272,6784,7521
9679,10264,7895,7566
9802,10486,7975,7755
10218,10606,8137,7888
10375,10664,8544,8256
10401,11012,8729,8509
10723,11369,9229,8625
10832,11551,10084,8805
11363,11708,11395,8862
11950,11734,11551,8899
11996,12056,11825,8951
12306,12401,12147,9054
12709,12696,12633,9243
13298,13283,12920,9562
13349,13329,13243,10753
14312,13639,13494,10915
14603,14042,13819,11257
14700,14631,14486,11322
15160,14682,14708,11507
15233,15645,14886,12007
15461,15936,15202,12862
15504,16033,15234,14217
15939,16194,15357,14329
16162,16493,15591,14827
16225,16566,15773,14925
16477,16663,15930,15411
16502,16794,15956,15698
16833,16837,16278,16021
17021,16958,16387,17061
17044,17272,16623,17264
17086,17810,17551,17606
17163,17835,17861,17980
17336,18166,18264,18369
17660,18327,18853,18708
17684,18354,18904,19056
17707,18419,20210,19165
18044,18496,20416,19401
18099,18669,20788,19696
18184,18993,20885,20283
18713,19017,21016,20329
19588,19040,21059,20639
19909,19517,21494,21042
19934,19571,22057,21631
20266,19661,22388,21682
21240,20012,22576,22988
22357,20046,22641,23033
22436,20921,22718,23194
22493,21242,22837,23493
22536,21267,22891,23566
22847,21599,23054,23663
23539,21720,23215,23794
23693,22573,23262,23837
23732,23826,23599,23958
23849,24180,23739,24495
24232,24566,23793,24558
24599,24872,23883,24810
24967,25026,24268,24835
